"diversity_shannon","observed","chao1","PD","SR","sampleID","seqID","Mouse","Treatment","Diet","Cage","Desc","Day","Rec_day","Rec_day_adj","Sac.group","Aim","Cohort","reads.in","reads.out","nseqs","seq_run","Abx","Post.diet","Post.micr","Pre.diet"
0.934568605529605,6,6,3.595145775,6,"HF5784","MMF.16S.210_HF5784","1692","WD-MICR","WD","35","rec-wk2",66,14,14,NA,"A2","C3",47841,42301,39657,"Mar_2022","ABX","WD","RC","WD"
0.392811510741868,3,3,1.002131812,3,"HF5785","MMF.16S.210_HF5785","2595","WD-MICR","WD","35","rec-wk2",66,14,14,NA,"A2","C3",3089,2352,2112,"Mar_2022","ABX","WD","RC","WD"
2.39129520710292,75,75,7.750386839,75,"HF5786","MMF.16S.210_HF5786","1686","WD-RC","WD","36","rec-wk2",66,14,14,NA,"A2","C3",24963,20649,17686,"Mar_2022","ABX","RC","RC","WD"
2.3466326512639,42,42,5.668609178,42,"HF5787","MMF.16S.210_HF5787","1689","WD-RC","WD","36","rec-wk2",66,14,14,NA,"A2","C3",7118,5742,4994,"Mar_2022","ABX","RC","RC","WD"
3.11299708896349,42,42,6.337624264,42,"HF5901","MMF.16S.210_HF5901","2041","RC-PBS-PBS","RC","4A","baseline",21,-31,-31,NA,"A2","C4",3141,2465,1829,"Mar_2022","PBS","RC","PBS","RC"
3.78485734026898,179,182.333333333333,13.694271013,179,"HF5902","MMF.16S.210_HF5902","2042","RC-ABX-PBS","RC","4A","baseline",21,-31,-31,NA,"A2","C4",24723,20315,17024,"Mar_2022","ABX","RC","PBS","RC"
3.37286960115241,124,124,11.943613704,124,"HF5903","MMF.16S.210_HF5903","2043","RC-MICR","RC","4A","baseline",21,-31,-31,NA,"A2","C4",41662,34135,26055,"Mar_2022","ABX","RC","WD","RC"
4.49733434849296,255,257.5,16.888801501,255,"HF5904","MMF.16S.210_HF5904","2044","RC-PBS-PBS","RC","4A","baseline",21,-31,-31,NA,"A2","C4",43907,36571,29880,"Mar_2022","PBS","RC","PBS","RC"
3.73181088169319,123,123.5,11.784917424,123,"HF5905","MMF.16S.210_HF5905","2045","RC-MICR","RC","4B","baseline",21,-31,-31,NA,"A2","C4",21793,18607,14567,"Mar_2022","ABX","RC","WD","RC"
4.08034797191067,112,115,9.892167081,112,"HF5906","MMF.16S.210_HF5906","2046","RC-WD","RC","4B","baseline",21,-31,-31,NA,"A2","C4",10823,8015,5472,"Mar_2022","ABX","WD","WD","RC"
