COMPOUND,KO
succinate,K18559
succinate,K18560
succinate,K01902
succinate,K01903
succinate,K14471
succinate,K14472
succinate,K03417
succinate,K01027
succinate,K01028
succinate,K01029
succinate,K05526
succinate,K01899
succinate,K01900
succinate,K01637
succinate,K00135
succinate,K00139
succinate,K08324
succinate,K17761
succinate,K01739
succinate,K00472
succinate,K10764
succinate,K00226
succinate,K05278
succinate,K00234
succinate,K00235
succinate,K00236
succinate,K00237
succinate,K00239
succinate,K00240
succinate,K00241
succinate,K00242
succinate,K00244
succinate,K00245
succinate,K00246
succinate,K00247
succinate,K18859
succinate,K18860
succinate,K00471
succinate,K18288
succinate,K18289
succinate,K00475
succinate,K13077
succinate,K05714
succinate,K01439
succinate,K01031
succinate,K01032
succinate,K04125
succinate,K04124
succinate,K00473
succinate,K13645
succinate,K13646
succinate,K13647
succinate,K00474
succinate,K14976
succinate,K05282
succinate,K12692
succinate,K05277
succinate,K14975
succinate,K12745
succinate,K12744
succinate,K03119
succinate,K06912
succinate,K12675
succinate,K07543
succinate,K07544
succinate,K12697
succinate,K15569
succinate,K15570
succinate,K10674
succinate,K13229
succinate,K10276
succinate,K18057
succinate,K18056
succinate,K20574
succinate,K18118
succinate,K18315
succinate,K18562
succinate,K17825
succinate,K18313
succinate,K18209
succinate,K18210
succinate,K21195
succinate,K18565
succinate,K19280
succinate,K13097
succinate,K21202
succinate,K21036
succinate,K06892
succinate,K23378
succinate,K22214
succinate,K22874
succinate,K12979
succinate,K15737
succinate,K23669
succinate,K23673
succinate,K23996
succinate,K23947
isobutyric acid,K10623
