SampleID,Day,Mouse,Cage,Desc,Type,Type.adj,Type.adj2,meanCFUpg_LB,Cohort,Cohort2,Treatment,Diet,Abx,infect,hpi
ST1512,70,6517,6183047,t=96,MLN,MLN,MLN,23684211,6,6,WD-ABX-INF,WD,ABX,INF,96
ST1512,70,6517,6183047,t=96,spl,spl,spl,1.12E+08,6,6,WD-ABX-INF,WD,ABX,INF,96
ST980,65.25,NT,6160720,t=6,fecal,fecal,fecal,0.00E+00,4,4a,WD-ABX-INF,RC,ABX,INF,6
ST989,65.5,NT,6160720,t=12,fecal,fecal,fecal,0.00E+00,4,4a,WD-ABX-INF,WD,ABX,INF,12
ST995,66,NT,6160720,t=24,fecal,fecal,fecal,2.40E+05,4,4a,WD-ABX-INF,WD,ABX,INF,24
ST1013,67,NT,6160720,t=48,fecal,fecal,fecal,6.89E+09,4,4a,WD-ABX-INF,WD,ABX,INF,48
ST1025,68,NT,6160720,t=72,fecal,fecal,fecal,1.92E+10,4,4a,WD-ABX-INF,WD,ABX,INF,72
NT,69,NT,6160720,t=96,cec-L,cec-L,cec-L,1.76E+11,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,col-L,fecal,fecal,1.64E+10,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,fecal,fecal,fecal,NA,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,ile-L,ile-L,ile-L,1.71E+10,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,liv,liv,liv,1.00E+07,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,MLN,MLN,MLN,3.62E+06,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT,69,NT,6160720,t=96,spl,spl,spl,2.13E+07,4,4a,WD-ABX-INF,WD,ABX,INF,96
ST982,65.25,NT.2,6160720,t=6,fecal,fecal,fecal,0.00E+00,4,4a,WD-ABX-INF,RC,ABX,INF,6
ST991,65.5,NT.2,6160720,t=12,fecal,fecal,fecal,7.16E+05,4,4a,WD-ABX-INF,WD,ABX,INF,12
ST997,66,NT.2,6160720,t=24,fecal,fecal,fecal,4.28E+08,4,4a,WD-ABX-INF,WD,ABX,INF,24
ST1015,67,NT.2,6160720,t=48,fecal,fecal,fecal,3.40E+09,4,4a,WD-ABX-INF,WD,ABX,INF,48
ST1027,68,NT.2,6160720,t=72,fecal,fecal,fecal,8.00E+09,4,4a,WD-ABX-INF,WD,ABX,INF,72
NT.2,69,NT.2,6160720,t=96,cec-L,cec-L,cec-L,6.43E+10,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,col-L,fecal,col-L,3.86E+09,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,fecal,fecal,fecal,1.06E+09,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,ile-L,ile-L,ile-L,9.25E+06,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,liv,liv,liv,4.81E+05,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,MLN,MLN,MLN,1.86E+06,4,4a,WD-ABX-INF,WD,ABX,INF,96
NT.2,69,NT.2,6160720,t=96,spl,spl,spl,1.62E+07,4,4a,WD-ABX-INF,WD,ABX,INF,96
ST1833,66,7651,6239069,t=6,fecal,fecal,fecal,3.28E+08,8,8,RC-PBS-INF,RC,PBS,INF,6
ST1834,66,7652,6239069,t=6,fecal,fecal,fecal,1.92E+08,8,8,RC-PBS-INF,RC,PBS,INF,6
